GPSC,GPSC__colour
1,#4867AA
2,#8DA9AC
3,#8854D2
4,#0094DF
5,#9C34B3
6,#57A627
7,#DB75F1
8,#8EA91E
9,#4C71E1
10,#DBB532
11,#5D4DAE
12,#8CC14B
13,#BC5FD1
14,#3CCA7C
15,#BD2C9B
16,#CA5670
17,#E55ABE
18,#4CC48C
19,#E52F66
20,#81BE6D
21,#9479E8
22,#517820
23,#DF7DDC
24,#7E9637
25,#8D439A
26,#B4BA5C
27,#B88AE6
28,#78A173
29,#C39C37
30,#996ABA
31,#E18E31
32,#8490DB
33,#D86831
34,#3FC6D1
35,#E64F49
36,#68C6A5
37,#DA3A83
38,#2C7040
39,#AF3A82
40,#5F955C
41,#E96DA2
42,#D165EC
43,#31957F
44,#B33321
45,#52A2D8
46,#CB455E
47,#B4B270
48,#D483C9
49,#958031
50,#C4A1E1
51,#65682A
52,#89568C
53,#DC9A6C
54,#9F4762
55,#985F2B
56,#DA89AE
57,#AB5445
58,#E28180
59,#008982
60,#F93254
61,#64DD58
62,#8E1CA7
63,#BCD139
64,#2B6BF4
65,#487600
66,#52DA5C
67,#FF8DF6
68,#2ADDC5
69,#AA2200
70,#01B1FF
71,#962949
72,#019FBC
73,#FFAAA7
74,#D821A3
75,#994E60
76,#4BC75C
77,#9845C1
78,#8BBE38
79,#4A5CD4
80,#4A9D30
81,#C942B0
82,#6AC27C
83,#D975E2
84,#B5B53A
85,#9576EB
86,#D1A63B
87,#54BD31
88,#4F79DB
89,#E08D31
90,#6E4FAC
91,#799537
92,#E14BA1
93,#43873B
94,#ED4585
95,#58C8A9
96,#DA3A60
97,#3FC6D2
98,#DE443F
99,#4AA5D4
100,#E1652A
101,#6C94D6
102,#B34129
103,#24938A
104,#B23D84
105,#48986E
106,#9B4FA6
107,#36723E
108,#B83969
109,#9975FF
110,#B1C100
111,#226A4D
112,#E282BE
113,#566621
114,#BA91DD
115,#8B7926
116,#6361A1
117,#B1B26C
118,#EC50CC
119,#8D4A78
120,#7F7C46
121,#AE6B9C
122,#00AA4B
123,#9F5E21
124,#DF8EA5
125,#D09967
126,#AD4150
127,#E8866A
128,#9C5B3F
129,#E47382
130,#FF3988
131,#34C7DD
132,#CF3F29
133,#3BCE80
134,#9D43C0
135,#4EC957
136,#CE3A9E
137,#66B132
138,#9C72E7
139,#A5BA2E
140,#525DCC
141,#C2AB3A
