In_silico_serotype,In_silico_serotype__colour
1,#416800
2,#C36BF5
3,#7BCD36
4,#9020AA
5,#0CC44F
6A,#BD009A
6A(6A-I),#BD009A
6A(6A-II),#BD009A
6A(6A-III),#BD009A
6A(6A-IV),#BD009A
6A(6A-V),#BD009A
6A(6A-VI),#BD009A
POSSIBLE 6A,#BD009A
6B,#3C9F00
6B(6B-I),#3C9F00
6B(6B-II),#3C9F00
POSSIBLE 6B,#3C9F00
6C,#2651D6
POSSIBLE 6C,#2651D6
6D,#9BB500
POSSIBLE 6D,#9BB500
6E(6A),#BD009A
6E(6B),#3C9F00
POSSIBLE 6E,#772D4A
6F,#8B38B2
POSSIBLE 6F,#8B38B2
6G,#AB62C0
POSSIBLE 6G,#AB62C0
7A,#D6A874
7B,#796BF6
7C,#A6D649
7C+,#A6D649
7F,#C753D8
8,#00880D
9A,#D4008E
9L,#00C979
9N,#D1006A
9V,#01D7A7
10A,#FF3A65
10B,#01D9C8
10C,#CA121D
10D,#95A976
10F,#217DFF
10X,#776700
11A,#3647B2
11A(11F_LIKE),#3647B2
11A/11B/11C/11D/11E/11F/11F_LIKE,#D3004F
11B,#EDA400
11C,#E8B500
11D,#74F841
11E,#D6D428
11F,#57C8F7
12A,#E90C50
12B,#0283F5
12B/12F,#0283F5
12F,#0283F5
13,#FF9A17
14,#0156B8
15A,#C5AC00
15A+,#C5AC00
15B,#B98AFF
15B+,#B98AFF
15B/15C,#B98AFF
15C,#B98AFF
15C+,#B98AFF
15D,#FD0418
15F,#4A8C00
16A,#0642B9
16F,#8F93FF
17A,#AEAC00
17F,#7B348B
18A,#79DB80
18B,#BF0032
18C,#02C3AB
18F,#D3400C
19A,#43BBFF
19A(19A-I),#43BBFF
19A(19A-I/19A-II),#43BBFF
19A(19A-II),#43BBFF
19A(19A-III),#43BBFF
19B,#E5630A
19C,#25595E
19F,#A5B4FF
19F(19AF),#A5B4FF
19F(19F-I),#A5B4FF
19F(19F-II),#A5B4FF
19F(19F-III),#A5B4FF
19F(19F-IV),#A5B4FF
20,#FF8029
20A,#FF8029
20B,#CFC97E
20C,#73A9BB
21,#00A69E
22A,#A61104
22F,#72DB93
23A,#FF81C6
23A+,#FF81C6
23B,#01832A
23B1,#01832A
23B(23B1),#01832A
23B+,#01832A
23F,#FFA2E0
23F+,#FFA2E0
24,#019752
24A,#48D652
24B,#019752
24B/24C/24F,#019752
24B/24F,#019752
24F,#019752
25A,#F1B1D6
25F,#FF7642
27,#00807C
28A,#BF7000
28F,#70D8C7
29,#903605
31,#55B5B0
32A,#F9F348
32F,#6AA45B
33A,#C28900
33A/33E/33F,#F07F05
33B,#75699C
33B/33D,#75699C
33C,#E4B7F0
33D,#75699C
33E,#8F8A00
33F,#006933
33F(33F-1A),#006933
33F(33F-1B),#006933
33G,#776700
33H,#3C8494
34,#FF897C
35A,#006C55
35B,#FF9267
35B/35D,#02B44E
35C,#2B5D32
35D,#72A555
35F,#FFA955
36,#7A3C6F
36A,#7018B3
36B,#468810
37,#ADD277
38,#903049
39,#91D4B2
40,#7A452A
41A,#7EC41B
41F,#96C89C
42,#FFA297
43,#335D19
44,#5C34EA
45,#FFB77A
46,#5F875B
47A,#35123C
47F,#64B12E
48,#D89F7F
COVERAGE TOO LOW,TRANSPARENT
MIXED,TRANSPARENT
MOSAIC CAPSULE,#958C76
NCC1_PSPK_NON_ENCAPSULATED,#A055E2
NCC2_ALIC_ALID_NON_ENCAPSULATED,#A6D7E7
NCC2_S_MITIS_ALIC_ALID_NON_ENCAPSULATED,#29AC71
NCC3_ALID_NON_ENCAPSULATED,#65E84D
NT,#525706
SPARE1,#D1C969
SPARE2,#684F0B
SPARE3,#8073A1
SPARE4,#CA5D83
UNTYPABLE,#FABE35
